"","V1","V2","V3","V4","V5","V6"
"354","muB",10.1,648315227.398094,0.236,0.176,1481.18004533971
"355","muB",10.2,648018689.397047,0.236,0.176,1454.70949114717
"356","muB",10.3,647713971.38502,0.236,0.176,1428.86927850223
"357","muB",10.4,647401068.725752,0.236,0.177,1403.64115638046
"358","muB",10.5,647107061.701197,0.237,0.177,1460.4861340277
"359","muB",10.6,646808366.164917,0.237,0.177,1434.57502516011
"360","muB",10.7,646501534.057209,0.237,0.177,1409.27677421622
"361","muB",10.8,646188112.685727,0.238,0.177,1465.82295106787
"362","muB",10.9,645895269.191133,0.238,0.178,1439.8520275488
"363","muB",11,645594337.278631,0.238,0.178,1414.49440113692
"364","muB",11.1,645285312.52707,0.238,0.178,1389.73245638846
"365","muB",11.2,644975046.62554,0.239,0.178,1444.70142240697
"366","muB",11.3,644679847.931165,0.239,0.178,1419.29508946378
"367","muB",11.4,644376604.064569,0.239,0.179,1394.4845805628
"368","muB",11.5,644065311.313353,0.239,0.179,1370.25289158665
"369","muB",11.6,643758421.18939,0.24,0.179,1423.68042344607
"370","muB",11.7,643460794.764331,0.24,0.179,1398.8316124999
"371","muB",11.8,643155166.648473,0.24,0.179,1374.56149066992
"372","muB",11.9,642841533.84015,0.24,0.18,1350.85365086263
"373","muB",12,642538229.217933,0.241,0.18,1402.77553958002
"374","muB",12.1,642238105.657563,0.241,0.18,1378.4768434167
"375","muB",12.2,641930024.133996,0.241,0.18,1354.74004738491
"376","muB",12.3,641613982.466977,0.241,0.18,1331.54932950445
"377","muB",12.4,641314462.748317,0.242,0.181,1382.00129945174
"378","muB",12.5,641011775.909228,0.242,0.181,1358.24501503091
"379","muB",12.6,640701175.066776,0.242,0.181,1335.03419047264
"380","muB",12.7,640384558.843431,0.243,0.181,1385.13764083983
"381","muB",12.8,640087113.485733,0.243,0.182,1361.37121549248
"382","muB",12.9,639781800.218268,0.243,0.182,1338.1493711545
"383","muB",13,639468617.163167,0.243,0.182,1315.45690269592
"384","muB",13.1,639156348.604924,0.244,0.182,1364.1217386876
"385","muB",13.2,638856172.90424,0.244,0.182,1340.89782095079
"386","muB",13.3,638548173.022171,0.244,0.183,1318.20220289657
"387","muB",13.4,638232347.917738,0.244,0.183,1296.02024288104
"388","muB",13.5,637924595.71529,0.245,0.183,1343.28288529374
"389","muB",13.6,637621632.170612,0.245,0.183,1320.59268250176
"390","muB",13.7,637310888.611513,0.245,0.183,1298.41488321393
"391","muB",13.8,636992364.63044,0.245,0.184,1276.73538085786
"392","muB",13.9,636689288.714362,0.246,0.184,1322.63191702748
"393","muB",14,636383482.942196,0.246,0.184,1300.46646717281
"394","muB",14.1,636069941.418437,0.246,0.184,1278.7978946705
